source_id,trait,mu,n,sd,source,se
Lotus aboriginus,abaxial_stomatal_density_mm2,101.50186215,25,7.240624467128556,arambarri_taxonomy_2005,NA
Lotus aboriginus,abaxial_stomatal_length_um,27.4,25,2.569818942699482,arambarri_taxonomy_2005,NA
Lotus aboriginus,abaxial_stomatal_width_um,17.9,25,1.2730681168712543,arambarri_taxonomy_2005,NA
Lotus aboriginus,adaxial_stomatal_density_mm2,20.300372430000003,25,1.9511660122540853,arambarri_taxonomy_2005,NA
Lotus aboriginus,adaxial_stomatal_length_um,26.7,25,2.5345383492846483,arambarri_taxonomy_2005,NA
Lotus aboriginus,adaxial_stomatal_width_um,15.8,25,1.440331248998413,arambarri_taxonomy_2005,NA
Lotus alamosanus,abaxial_stomatal_density_mm2,146.162681496,25,4.148641289694375,arambarri_taxonomy_2005,NA
Lotus alamosanus,abaxial_stomatal_length_um,24.2,25,2.5461362143106765,arambarri_taxonomy_2005,NA
Lotus alamosanus,abaxial_stomatal_width_um,20.7,25,0.7830783168149753,arambarri_taxonomy_2005,NA
Lotus alamosanus,adaxial_stomatal_density_mm2,170.523128412,25,1.9511660122843817,arambarri_taxonomy_2005,NA
Lotus alamosanus,adaxial_stomatal_length_um,23.8,25,1.2990545324390044,arambarri_taxonomy_2005,NA
Lotus alamosanus,adaxial_stomatal_width_um,20,25,0.04978707292483459,arambarri_taxonomy_2005,NA
Lotus argophyllus,abaxial_stomatal_density_mm2,121.80223458000002,25,2.074320645717526,arambarri_taxonomy_2005,NA
Lotus argophyllus,abaxial_stomatal_length_um,26.8,25,1.2678387223607208,arambarri_taxonomy_2005,NA
Lotus argophyllus,abaxial_stomatal_width_um,20.8,25,2.5461362143106765,arambarri_taxonomy_2005,NA
Lotus argophyllus,adaxial_stomatal_density_mm2,150.22275598200002,25,6.222961936125217,arambarri_taxonomy_2005,NA
Lotus argophyllus,adaxial_stomatal_length_um,27.6,25,1.2769759079223175,arambarri_taxonomy_2005,NA
Lotus argophyllus,adaxial_stomatal_width_um,22,25,2.540772133107651,arambarri_taxonomy_2005,NA
Lotus benthamii,abaxial_stomatal_density_mm2,109.62201112200002,25,4.148641289692762,arambarri_taxonomy_2005,NA
Lotus benthamii,abaxial_stomatal_length_um,28.8,25,1.2990545324390044,arambarri_taxonomy_2005,NA
Lotus benthamii,abaxial_stomatal_width_um,24.8,25,2.553951817123138,arambarri_taxonomy_2005,NA
Lotus benthamii,adaxial_stomatal_density_mm2,60.90111729000001,25,1.9511660122540853,arambarri_taxonomy_2005,NA
Lotus benthamii,adaxial_stomatal_length_um,29.2,25,2.5461362143106765,arambarri_taxonomy_2005,NA
Lotus benthamii,adaxial_stomatal_width_um,25.4,25,2.5522473560415055,arambarri_taxonomy_2005,NA
Lotus crassifolius,abaxial_stomatal_density_mm2,162.40297944000002,25,7.240624467128383,arambarri_taxonomy_2005,NA
Lotus crassifolius,abaxial_stomatal_length_um,27.4,25,2.598109069212318,arambarri_taxonomy_2005,NA
Lotus crassifolius,abaxial_stomatal_width_um,25,25,0.04978707292483459,arambarri_taxonomy_2005,NA
Lotus crassifolius,adaxial_stomatal_density_mm2,182.70335187,25,7.240624467128442,arambarri_taxonomy_2005,NA
Lotus crassifolius,adaxial_stomatal_length_um,29.2,25,1.440331248998413,arambarri_taxonomy_2005,NA
Lotus crassifolius,adaxial_stomatal_width_um,20.8,25,1.440331248998413,arambarri_taxonomy_2005,NA
Lotus dendroideus,abaxial_stomatal_density_mm2,81.20148972000001,25,1.9511660122843817,arambarri_taxonomy_2005,NA
Lotus dendroideus,abaxial_stomatal_length_um,26.7,25,1.7873468744329244,arambarri_taxonomy_2005,NA
Lotus dendroideus,abaxial_stomatal_width_um,19.6,25,2.5522473560415055,arambarri_taxonomy_2005,NA
