resolved_name,family,source,source_id,abaxial_stomatal_density_mm2,adaxial_stomatal_density_mm2,abaxial_stomatal_length_um,adaxial_stomatal_length_um,phy_name,grass,c,h,j,m,b,abaxial_stomatal_area_um2,adaxial_stomatal_area_um2,abaxial_gmax,adaxial_gmax,abaxial_fs,adaxial_fs,genus,subspecies,chromostome_number_2n,ploidy_level_x,c_value_reference,c_value_note,dna_amount_2c_pg
Acacia_baileyana,Fabaceae,huang_leaf_2019,Acacia baileyana,194.85,195.13,24.45,26.48,Acacia_baileyana,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,298.90125,350.59520000000003,1.6179042394494825,1.7547512672954821,0.0582409085625,0.068411641376,Acacia,NA,NA,NA,gallagher_invasiveness_2011,NA,1.74
Acacia_farnesiana,Fabaceae,xiong_one_2020,Acacia farnesiana,561.2335595666666,205.74682353333333,16.97903760333333,18.642489063333333,Acacia_farnesiana,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,144.14385896770364,173.77119923825146,3.236161909507134,1.3025985049742566,0.0808983710581199,0.03575287226484823,Acacia,NA,52,4,mukherjee_situ_1993,NA,2.8
Acacia_longifolia,Fabaceae,gindel_stomatal_1969,Acacia Longifolia,104,153,22,21,Acacia_longifolia,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,242,220.5,0.7770152804575521,1.0911495175306447,0.025168,0.0337365,Acacia,NA,NA,NA,NA,NA,NA
Acacia_melanoxylon,Fabaceae,huang_leaf_2019,Acacia melanoxylon,201.58,211.51,19.89,20.52,Acacia_melanoxylon,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,197.80605,210.5352,1.361619503176074,1.4739467746572188,0.039873743559,0.044530300152,Acacia,NA,26,2,coulaud_first_1995,NA,1.6
Acalypha_wilkesiana,Euphorbiaceae,siddiqi_contribution_1991,Acalypha wilkesiana,184,53,38.5,38.5,Acalypha_wilkesiana,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,741.125,741.125,2.405758849108959,0.6929631467542111,0.136367,0.039279625,Acalypha,NA,NA,NA,NA,NA,NA
Achillea_biebersteinii,Asteraceae,zarinkamar_stomatal_2007,Achillea biebersteinii,37,73.73,32.667,32.87,Achillea_biebersteinii,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,533.5664445000001,540.21845,0.41047292489866855,0.8230334331148637,0.019741958446500004,0.0398303063185,Achillea,NA,18,2,dabrowska_chromosome_1992,NA,5.2
Achillea_millefolium,Asteraceae,zarinkamar_stomatal_2007,Achillea millefolium,39.73,89.68,35.317,35.528,Achillea_millefolium,FALSE,0.5,0.5,0.5,0.4320531824955447,0.001111607142857143,623.6452445,631.119392,0.47651426890672915,1.0820314877297734,0.024777425563984996,0.05659878707456,Achillea,NA,54,6,dabrowska_chromosome_1992,NA,15.4
Achnatherum_inebrians,Poaceae,yang_large-scale_2014,Achnatherum inebrians,70,125,34,30.6,Achnatherum_inebrians,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,144.5,117.04500000000002,0.570593477551659,0.917025231779452,0.010114999999999999,0.014630625000000003,Achnatherum,NA,NA,NA,NA,NA,NA
Achnatherum_sibiricum,Poaceae,yang_large-scale_2014,Achnatherum sibiricum,167,270,15.2,16.7,Achnatherum_sibiricum,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,28.88,34.86125,0.608569110679467,1.0810109202858953,0.004822959999999999,0.0094125375,Achnatherum,NA,NA,NA,NA,NA,NA
Achnatherum_splendens,Poaceae,yang_large-scale_2014,Achnatherum splendens (M),76,448,20.8,24.2,Achnatherum_splendens,TRUE,0.5,0.5,0.125,0.6100192087353153,0.001111607142857143,54.080000000000005,73.205,0.37898914677044654,2.5992211118588515,0.00411008,0.03279584,Achnatherum,NA,NA,NA,NA,NA,NA
