family,genus,species
Acoraceae,Acorus,Acorus calamus
Adoxaceae,Viburnum,Viburnum lantana
Altingiaceae,Liquidambar,Liquidambar styraciflua
Amaranthaceae,Beta,Beta vulgaris
Amaranthaceae,Chenopodium,Chenopodium album
Amaranthaceae,Kochia,Kochia prostrata
Amaranthaceae,Noaea,Noaea mucronata
Amaranthaceae,Spinacia,Spinacia oleracea
Amaryllidaceae,Allium,Allium atroviolaceum
Amaryllidaceae,Allium,Allium polyrhizum
Amaryllidaceae,Allium,Allium rubellum
Anacardiaceae,Cotinus,Cotinus coggygria
Anacardiaceae,Pistacia,Pistacia atlantica
Anacardiaceae,Pistacia,Pistacia chinensis
Anacardiaceae,Rhus,Rhus coriaria
Anacardiaceae,Rhus,Rhus lancea
Anacardiaceae,Schinus,Schinus molle
Apiaceae,Albovia,Albovia tripartita
Apiaceae,Bupleurum,Bupleurum falcatum
Apiaceae,Bupleurum,Bupleurum gerardii
Apiaceae,Carum,Carum carvi
Apiaceae,Caucalis,Caucalis platycarpos
Apiaceae,Centella,Centella asiatica
Apiaceae,Chaerophyllum,Chaerophyllum aureum
Apiaceae,Cymbocarpum,Cymbocarpum anethoides
Apiaceae,Daucus,Daucus broteri
Apiaceae,Eryngium,Eryngium caucasicum
Apiaceae,Falcaria,Falcaria vulgaris
Apiaceae,Heracleum,Heracleum pastinacifolium
Apiaceae,Heracleum,Heracleum persicum
Apiaceae,Laser,Laser trilobum
Apiaceae,Peucedanum,Peucedanum caucasicum
Apiaceae,Pimpinella,Pimpinella aurea
Apiaceae,Pimpinella,Pimpinella tragium
Apiaceae,Prangos,Prangos ferulacea
Apiaceae,Sanicula,Sanicula europaea
Apiaceae,Saposhnikovia,Saposhnikovia divaricata
Apiaceae,Seseli,Seseli peucedanoides
Apiaceae,Trinia,Trinia leiogona
Apocynaceae,Allamanda,Allamanda cathartica
Apocynaceae,Carissa,Carissa spinarum
Apocynaceae,Cascabela,Cascabela thevetia
Apocynaceae,Catharanthus,Catharanthus pusillus
Apocynaceae,Catharanthus,Catharanthus roseus
Apocynaceae,Cynanchum,Cynanchum mongolicum
Apocynaceae,Ervatamia,Ervatamia divaricata
Apocynaceae,Plumeria,Plumeria rubra
Apocynaceae,Rauvolfia,Rauvolfia tetraphylla
Apocynaceae,Vallaris,Vallaris solanacea
Apocynaceae,Wrightia,Wrightia tinctoria
Araliaceae,Hedera,Hedera helix
Arecaceae,Archontophoenix,Archontophoenix cunninghamiana
Arecaceae,Phoenix,Phoenix canariensis
Arecaceae,Syagrus,Syagrus romanzoffiana
Arecaceae,Washingtonia,Washingtonia robusta
Asparagaceae,Asparagus,Asparagus officinalis
Asparagaceae,Bellevalia,Bellevalia fominii
Asparagaceae,Cordyline,Cordyline fruticosa
Asparagaceae,Muscari,Muscari neglectum
Asparagaceae,Polygonatum,Polygonatum orientale
Asparagaceae,Scilla,Scilla mischtschenkoana
Asphodelaceae,Asphodeline,Asphodeline dendroides
Asteraceae,Achillea,Achillea biebersteinii
Asteraceae,Achillea,Achillea millefolium
Asteraceae,Acmella,Acmella repens
Asteraceae,Acourtia,Acourtia cordata
Asteraceae,Adenostyles,Adenostyles glabra
Asteraceae,Ageratina,Ageratina cylindrica
Asteraceae,Ageratina,Ageratina pichinchensis
Asteraceae,Ambrosia,Ambrosia psilostachya
Asteraceae,Anthemis,Anthemis triumfettii
Asteraceae,Aposeris,Aposeris foetida
Asteraceae,Argyroxiphium,Argyroxiphium grayanum
Asteraceae,Artemisia,Artemisia absinthium
Asteraceae,Artemisia,Artemisia armeniaca
Asteraceae,Artemisia,Artemisia chamaemelifolia
Asteraceae,Artemisia,Artemisia fragrans
Asteraceae,Artemisia,Artemisia parviflora
Asteraceae,Artemisia,Artemisia scoparia
Asteraceae,Artemisia,Artemisia splendens
Asteraceae,Aster,Aster bellidiastrum
Asteraceae,Baccharis,Baccharis pteronioides
Asteraceae,Baccharis,Baccharis salicifolia
Asteraceae,Baccharis,Baccharis sordescens
Asteraceae,Barkleyanthus,Barkleyanthus salicifolius
Asteraceae,Bidens,Bidens bigelovii
Asteraceae,Bidens,Bidens odorata
Asteraceae,Bidens,Bidens pilosa
Asteraceae,Buphthalmum,Buphthalmum salicifolium
Asteraceae,Calendula,Calendula
Asteraceae,Carduus,Carduus defloratus
Asteraceae,Carduus,Carduus pycnocephalus
Asteraceae,Carduus,Carduus seminudus
Asteraceae,Carduus,Carduus thoermeri
Asteraceae,Carthamus,Carthamus lanatus
Asteraceae,Centaurea,Centaurea aziziana
Asteraceae,Centaurea,Centaurea jacea
Asteraceae,Centaurea,Centaurea macrocephala
Asteraceae,Centaurea,Centaurea montana
Asteraceae,Centaurea,Centaurea rhizantha
