family,genus,species,subspecies,chromostome_number_2n,ploidy_level_x,dna_amount_1c_pg,c_value_reference,c_value_note
Acoraceae,Acorus,Acorus calamus,NA,36,4,0.54,smarda_ecological_2014,
Adoxaceae,Viburnum,Viburnum lantana,NA,18,2,4.09,pustahija_small_2013,
Altingiaceae,Liquidambar,Liquidambar styraciflua,NA,NA,NA,NA,NA,
Amaranthaceae,Beta,Beta vulgaris,NA,NA,NA,0.92,barow_endopolyploidy_2003,
Amaranthaceae,Chenopodium,Chenopodium album,NA,18,2,0.77,ohri_unpublished_2002,Ohri personal comunication; I used the 2X ploidy
Amaranthaceae,Kochia,Kochia prostrata,NA,NA,NA,NA,NA,
Amaranthaceae,Noaea,Noaea mucronata,NA,NA,NA,NA,NA,
Amaranthaceae,Spinacia,Spinacia oleracea,cv. Greenmarket,12,2,1,barlow_1981,Barlow personal communication
Amaryllidaceae,Allium,Allium atroviolaceum,NA,NA,NA,NA,NA,
Amaryllidaceae,Allium,Allium polyrhizum,NA,NA,NA,NA,NA,
Amaryllidaceae,Allium,Allium rubellum,NA,NA,NA,NA,NA,
Anacardiaceae,Cotinus,Cotinus coggygria,NA,30,NA,0.33,pustahija_small_2013,
Anacardiaceae,Pistacia,Pistacia atlantica,NA,NA,NA,NA,NA,
Anacardiaceae,Pistacia,Pistacia chinensis,NA,NA,NA,NA,NA,
Anacardiaceae,Rhus,Rhus coriaria,NA,NA,NA,NA,NA,
Anacardiaceae,Rhus,Rhus lancea,NA,NA,NA,NA,NA,
Anacardiaceae,Schinus,Schinus molle,NA,NA,NA,NA,NA,
Apiaceae,Albovia,Albovia tripartita,NA,NA,NA,NA,NA,
Apiaceae,Bupleurum,Bupleurum falcatum,NA,16,2,2.9,das_karyotype_1993,
Apiaceae,Bupleurum,Bupleurum gerardii,NA,NA,NA,NA,NA,
Apiaceae,Carum,Carum carvi,cv. KBI 1434,20,2,4.8,das_genome_1991,
Apiaceae,Caucalis,Caucalis platycarpos,NA,NA,NA,NA,NA,
Apiaceae,Centella,Centella asiatica,NA,NA,NA,NA,NA,
Apiaceae,Chaerophyllum,Chaerophyllum aureum,NA,NA,NA,NA,NA,
Apiaceae,Cymbocarpum,Cymbocarpum anethoides,NA,NA,NA,NA,NA,
Apiaceae,Daucus,Daucus broteri,NA,20,2,1.11,nowicka_nuclear_2016,
Apiaceae,Eryngium,Eryngium caucasicum,NA,NA,NA,NA,NA,
Apiaceae,Falcaria,Falcaria vulgaris,NA,NA,NA,NA,NA,
Apiaceae,Heracleum,Heracleum pastinacifolium,NA,NA,NA,NA,NA,
Apiaceae,Heracleum,Heracleum persicum,NA,NA,NA,NA,NA,
Apiaceae,Laser,Laser trilobum,NA,NA,NA,NA,NA,
Apiaceae,Peucedanum,Peucedanum caucasicum,NA,NA,NA,NA,NA,
Apiaceae,Pimpinella,Pimpinella aurea,NA,NA,NA,NA,NA,
Apiaceae,Pimpinella,Pimpinella tragium,NA,NA,NA,NA,NA,
Apiaceae,Prangos,Prangos ferulacea,NA,NA,NA,NA,NA,
Apiaceae,Sanicula,Sanicula europaea,NA,16,2,1.22,pustahija_small_2013,
Apiaceae,Saposhnikovia,Saposhnikovia divaricata,NA,NA,NA,NA,NA,
Apiaceae,Seseli,Seseli peucedanoides,NA,NA,NA,NA,NA,
Apiaceae,Trinia,Trinia leiogona,NA,NA,NA,NA,NA,
Apocynaceae,Allamanda,Allamanda cathartica,NA,NA,NA,NA,NA,
Apocynaceae,Carissa,Carissa spinarum,NA,NA,NA,NA,NA,
Apocynaceae,Cascabela,Cascabela thevetia,NA,NA,NA,NA,NA,
Apocynaceae,Catharanthus,Catharanthus pusillus,NA,NA,NA,NA,NA,
Apocynaceae,Catharanthus,Catharanthus roseus,NA,NA,NA,2.4,galbraith_rapid_1983,
Apocynaceae,Cynanchum,Cynanchum mongolicum,NA,NA,NA,NA,NA,
Apocynaceae,Ervatamia,Ervatamia divaricata,NA,NA,NA,NA,NA,
Apocynaceae,Plumeria,Plumeria rubra,NA,NA,NA,NA,NA,
Apocynaceae,Rauvolfia,Rauvolfia tetraphylla,NA,NA,NA,NA,NA,
Apocynaceae,Vallaris,Vallaris solanacea,NA,NA,NA,NA,NA,
Apocynaceae,Wrightia,Wrightia tinctoria,NA,NA,NA,NA,NA,
Araliaceae,Hedera,Hedera helix,NA,48,4,1.5,konig_dna_1987,
Arecaceae,Archontophoenix,Archontophoenix cunninghamiana,NA,32,2,4.7,roser_nuclear_2014,
Arecaceae,Phoenix,Phoenix canariensis,NA,36,2,0.9,roser_nuclear_2014,
Arecaceae,Syagrus,Syagrus romanzoffiana,NA,32,2,3.1,roser_nuclear_2014,
Arecaceae,Washingtonia,Washingtonia robusta,NA,NA,NA,NA,NA,
Asparagaceae,Asparagus,Asparagus officinalis,NA,40,4,3.2,smarda_ecological_2014,
Asparagaceae,Bellevalia,Bellevalia fominii,NA,NA,NA,NA,NA,
Asparagaceae,Cordyline,Cordyline fruticosa,NA,38,2,0.69,smarda_ecological_2014,
Asparagaceae,Muscari,Muscari neglectum,NA,NA,NA,NA,NA,
Asparagaceae,Polygonatum,Polygonatum orientale,NA,NA,NA,NA,NA,
Asparagaceae,Scilla,Scilla mischtschenkoana,NA,12,2,21.6,greilhuber_evolutionary_1982,
Asphodelaceae,Asphodeline,Asphodeline dendroides,NA,NA,NA,NA,NA,
Asteraceae,Achillea,Achillea biebersteinii,NA,18,2,2.6,dabrowska_chromosome_1992,
